,name,apeal,copy,employment_status,incoms
0,株式会社ビッグモーター,★＼平均年収861万円◆業界No.1企業の大手安定性／★,未経験からはじめる【カーライフアドバイザー】*学歴/年齢不問,正社員,330万円～1500万円
1,株式会社ビッグモーター,業界No.1企業の安定性／面接1回／転勤なし／連休OK！,【登録事務スタッフ】☆未経験歓迎☆基本定時退社☆土日休み,正社員,300万円～550万円
2,三井住友トラスト不動産株式会社,三井住友信託銀行グループ｜＼[COVID-19]の影響なく採用実施！／,銀行グループだからできる《好環境・高収入》／【売買仲介営業】,正社員,350万円～750万円
3,UTエイム株式会社,大阪府緊急雇用対策に賛同【東証一部上場グループ】,【製造スタッフ】未経験から高収入！★月収最大42万円も可能,正社員,300万円～500万円
4,東建コーポレーション株式会社,エリア勤務でも高収入！地元で安心できる生活を手に入れよう！,全国展開だけど、西日本で活躍【営業】★西日本募集/未経験歓迎,正社員,400万円～1000万円
5,エーアイアールグループ合同募集,★中途採用者活躍中★平均年齢29歳★残業少なめ★週休2日制,【ルームアドバイザー】★月給40万円可★3月入社OK★研修充実,正社員,450万円～1000万円
6,株式会社ビッグモーター,全国募集／転勤なし／面接1回／基本土日休み／業界No.1企業,月給27万8600円～★未経験歓迎【配送ドライバー(引取り・納車)】,正社員,300万円～700万円
7,株式会社アイダ設計,テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,100％反響型の【戸建住宅のアドバイザー】★女性も活躍中♪,正社員,
8,株式会社ビッグモーター,◆最高年収2282万円◆平均月収67万円◆業界No.1企業の安定性◆,＼平均年収861万円！／【100％反響営業】☆未経験歓迎*高卒以上,正社員,330万円～1500万円
9,株式会社タウンハウジング,CM放映中！1都3県に101店舗を展開！今期過去最高益見込みの企業,【ルームアドバイザー】反響対応＆チーム接客なので未経験も安心,正社員,350万円～600万円
10,株式会社ビッグモーター,業界No.1の実績＆安定性/面接1回/月8～10日休み/転勤なし,未経験歓迎【事務スタッフ】月給23万9800円～/残業なし/土日休み,正社員,300万円～550万円
11,UTエイム株式会社,【東証一部上場グループ】★WEB面接OK／年内入社も可能,未経験・第二新卒OK【総合職(組立・検品等)】オープンポジション,正社員,300万円～500万円
12,株式会社ビッグモーター,業界No.1企業★月8日休み★転勤なし★産休育休の取得実績多数,【店舗スタッフ】★平均月収67.6万円★40歳以下★未経験OK！,正社員,330万円～1500万円
13,UTエイム株式会社,大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,コツコツ働ける♪【箱詰め・在庫確認スタッフ】未経験歓迎！,正社員,300万円～500万円
14,東建コーポレーション株式会社,"10人に1人が年収1,000万円を実現しています。",営業・販売などの経験者募集【営業系総合職】全国募集/年齢不問,正社員,400万円～800万円
15,コスモエコロジー株式会社,#完全週休2日制#残業ほぼナシ#平均年齢28歳#女性社員が40％,人柄重視だからこその面接保証♪【PRスタッフ】★月給25万円以上,正社員,350万円～900万円
16,洛陽交運株式会社,"ヤサカグループ／月額17,000円～即入寮できる社宅あり！",京都での新スタートを応援【タクシードライバー】年休120日以上,正社員,
17,株式会社ビッグモーター,平均年収861万円◆最高月収278万円◆年収2000万円以上の実績,月収70万円以上可能☆社会人経験を活かして活躍【営業スタッフ】,正社員,330万円～1500万円
18,東建コーポレーション株式会社,エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,やっぱり関西が良い！【営業】関西限定募集/完休2日・年休123日,正社員,400万円～800万円
19,株式会社優誠,【大阪府緊急雇用対策に賛同】ノルマなし＆成約率は50％以上！,【営業スタッフ】未経験OK／月収100万円超も可能／基本土日休み,正社員,300万円～850万円
20,中国化工建設株式会社,【東証一部上場「ショーボンドホールディングス」グループ】,収入と安定を手に入れろ！【施工管理】☆賞与６～10ヵ月実績,正社員,
21,株式会社comam,今年4月に東京に拠点OPEN／採用プロセスは原則WEB面接1回のみ,【営業】▼朝はゆっくり11時出社／高収入を目指せる給与体系,正社員,
22,インターギアソリューション株式会社,★契約祝金50万円支給！★固定報酬×制作本数で月収例35～90万円,【求人広告クリエイター(ディレクション・コピーライティング)】,業務委託,450万円～1100万円
23,株式会社PCM,大阪はスターティングメンバ―募集★TEL問合せOK(086-527-5345),未経験でも月給30万円～！【電気工事士】※直行直帰スタイル,正社員,350万円～600万円
24,株式会社PGSホーム,未経験でも月給40万円スタート！入社祝金は最大138万円支給！,【営業総合職】※支店を続々開設する安定成長企業で高収入を実現,正社員,400万円～1000万円
25,株式会社ファミリーコーポレーション,『日本一お客様に信頼される不動産会社』を目指す成長企業,不動産ベンチャーで業界を変革！【資産コンサルティング営業】,正社員,
26,株式会社ブッシュクロフィード,経験を存分に活かして”自由”な働き方を実現★30代活躍／残業0,【不動産コンサルタント】経験者優遇／直行直帰OK／月給35万円～,正社員,500万円～1200万円
27,株式会社ドミノ・ピザジャパン,国内700店舗展開！”宅配ピザ”の枠を越えるグローバルブランド,実力を正当評価！最短3ヵ月で昇格【店長候補】*賞与最高額90万円,正社員,400万円～800万円
28,株式会社カーチスホールディングス,東証二部上場｜完全週休二日制・リフレッシュ休暇あり,※反響対応のみ！【営業スタッフ】未経験歓迎！20～30代活躍中！,正社員,
29,株式会社昇建,#大阪府緊急雇用対策に賛同#マイナビ転職で入社した社員が活躍中,女性のお客様目線が活かせる環境【施工管理アシスタント】,正社員,350万円～450万円
30,江口電気工業株式会社,【面接保証あり】平均勤続年数20年※大阪府緊急雇用対策に賛同,【電気工事スタッフ】※賞与年3回｜土日祝休み｜年間休日124日※,正社員,
31,株式会社ビッグモーター,業界No.1安定企業/賞与年2回/年収800万円以上可能/残業少なめ,【整備スタッフ】45歳以下★最新設備★月8～10日休み★未経験OK,正社員,300万円～1000万円
32,株式会社エストゥルース,【効率的な営業スタイル】飛び込み営業・ノルマは一切ありません,【営業】★土日祝休み・残業基本ゼロでも、年収1200万円が可能！,正社員,400万円～2000万円
33,DSP株式会社,【完全週休2日】【年間休日125日～130日】【産休育休実績あり】,未経験歓迎！WEB集客の【法人営業】★土日祝休★残業ほぼなし,正社員,300万円～400万円
34,株式会社エー・エス・エル,《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,【ITエンジニア(開発/インフラ)】★年休123日＆残業月10h程度★,正社員,400万円～800万円
35,小金井不動産株式会社,LIXIL不動産ショップNo.1！全加盟店480社中優秀成績者41名輩出,成果に繋がる理由だらけ★【売買営業(反響型)】※平均年収600万,正社員,400万円～1000万円
36,株式会社ウィズユー,設立6年の新鋭ベンチャー！地球にもお客様にもやさしいビジネス,未経験から年収1000万円も可能！【営業職】★32歳以下全員面接★,正社員,350万円～650万円
37,ソフトバンク営業職合同募集,【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,ソフトバンク商材の【法人営業】未経験OK★学歴・年齢不問,正社員,
38,DSP株式会社,入社半年で月収100万円以上の社員多数！★年間休日125日～130日,アニメやスポーツ番組の【反響営業】完全週休2日★学歴不問！,正社員,400万円～1000万円
39,有限会社エフォール,≪2年で200台まで増車予定！需要拡大中≫初期費用0円★年齢不問,『配った荷物＝あなたの給料』【軽車両ドライバー】AT限定免許OK,業務委託,100万円～1000万円
40,JCSロジスコ株式会社,◆電話・Web面接も可能／翌日振込・前払いもOK／日払い可！◆,【宅配ドライバー】平均日当3万円/すぐ就業可※正社員登用あり,業務委託,300万円～1000万円
41,株式会社ジーアフター,【大型店新規オープン】＊千葉県トップクラスの中古車販売店,車を美しく仕上げる【商品化スタッフ(コーティング等)】未経験OK,正社員,400万円～500万円
42,日本レーヴ株式会社,完全週休2日/残業ほぼなし/30代が中心に活躍中,業績好調！働きやすさ抜群の【総合職(営業アシスタント・営業)】,正社員,300万円～1000万円
43,インターギアソリューション株式会社,【業界トップクラスの売上規模/メンバー数】★応募の秘密は厳守,【求人広告アポインター営業】未経験から最低32万円以上も可,業務委託,400万円～1100万円
44,株式会社エネクスコンサルティング,【ENEXHoldingCo.】土日祝休みの完全週休2日制※若手活躍中,”カッコいい自分”になりたいなら今が転機です！【法人営業】,正社員,300万円～600万円
45,株式会社ライジングサンセキュリティーサービス,【★面接保証！20～60代活躍中★未経験スタート大歓迎★】,＼ひたちなか・水戸募集／【警備・受付】★月給最大38万円も可能,正社員,300万円～500万円
46,株式会社ルクールプラス,◆月残業～20h◆完休2日制◆年休120日～◆転勤なし◆20代活躍中,"【企画営業】★""なりたい自分”の実現を全力サポート★未経験OK",正社員,
47,株式会社アイダ設計,テレビCMでお馴染みの企業！成長が止まらないハウスメーカー★,将来は各店舗の責任者として活躍！注文住宅の【建築設計】,正社員,350万円～750万円
48,株式会社一条工務店,★2020年卒マイナビ大学生就職企業人気ランキング建築住宅系1位,完全反響型！展示場での【営業・販売】※WEB説明会を開催！,正社員,450万円～800万円
49,株式会社アイエスエフネット,【大阪府緊急雇用対策に賛同】★インセンMAX60％★残業ほぼナシ,月35万円~【ITエンジニア】★案件豊富★有給消化81％★学歴不問,正社員,450万円～1000万円
50,朝日ソーラー株式会社,【大阪府緊急雇用対策に賛同】試用期間中は月給32万円以上,【営業職】提案しやすい商材で高収入を目指せます！,正社員,450万円～700万円
51,株式会社日明舎,ゆっくり家族の時間を楽しめる！休みたっぷり「完全週休2日制」,経験が活きる【電気工事スタッフ】残業月20ｈ程度◆年休125日,正社員,350万円～500万円
52,株式会社アイエスエフネット,【大阪府緊急雇用対策に賛同】★残業平均月7.8h★年間休日126日,年収200万UP実績あり【インフラエンジニア】★選べるキャリア,正社員,480万円～1000万円
53,株式会社NIPPO,【東証一部上場企業】舗装業界を代表するリーディングカンパニー,★地域密着★埼玉の未来を担う【施工管理】※転勤なし/年休113日,正社員,400万円～700万円
54,株式会社アイエスエフネット,【大阪府緊急雇用対策に賛同】★インセンMAX60％/69％が毎年昇給,年休126日×平均残業7.8h【ITエンジニア】★高卒以上/福利厚生◎,正社員,306万円～1000万円
55,株式会社PGSホーム,月給40万円＋歩合スタート｜今なら入社祝金最大138万円も支給！,【リフォーム訪問販売営業】※未経験から高収入が実現可能！,正社員,400万円～1000万円
56,UTエイム株式会社,大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,比較的シンプル作業【生産ラインスタッフ】高収入！未経験大歓迎,正社員,300万円～500万円
57,三福土建株式会社,JRとの取引20年以上！経営安定＆業績好調/年収500万円以上も可！,線路の【保守スタッフ】★無料の社員寮有り！年休120日！,正社員,400万円～450万円
58,株式会社FIVEFELLOWS,(ファイブフェローズ)「完全週休2日制」「充実の手当/福利厚生」,賃貸物件を扱う【ルームアドバイザー】未経験でも月給25万円～★,正社員,350万円～750万円
59,ソフトバンク営業職合同募集,【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,ソフトバンク商材の【法人営業】未経験OK★高卒以上,正社員,
60,株式会社ビッグモーター,"業界No.1◆月給23万9,800円～☆残業ほぼなし☆土日休み可",未経験からはじめる【フロントスタッフ(受付・事務)】*学歴不問,正社員,300万円～550万円
61,株式会社ビッグモーター,月給23万9800円～/月8～10日休/土日休OK/賞与年2回/残業ほぼなし,【サービスフロント(受付事務)】★未経験OK★高卒以上★転勤なし,正社員,300万円～550万円
62,日研トータルソーシング株式会社,大阪府緊急雇用対策に賛同☆90％が未経験入社☆残業ほぼなし！,※年休最大160日※【サポートスタッフ】★勤務地多数★賞与年2回,正社員,
63,株式会社ドミール,『ハウスドゥ！』甲府昭和通り店★全国No.1加盟店数※完休2日！,【営業職】地域に根差して高収入が目指せる★新規移転オープン！,正社員,400万円～800万円
64,日研トータルソーシング株式会社,大阪府緊急雇用対策に賛同◇安定成長企業◇未経験入社が9割！,AI化で必要とされる【ロボットのメンテナンス・検査スタッフ】,正社員,
65,Rセキュリティ株式会社,20年連続増収増益◆2020年2~5月は売上前年比125％◆完全週休二日,"""水""というライフラインを支える【水道技師】★平均月収45万円超",正社員,450万円～550万円
66,株式会社エヌ事業hoop,★土日祝休み★1回の決算賞与で100万円獲得の可能性も!?,★学歴・経験一切不問【法人営業】年収900万円も夢じゃない！,正社員,400万円～600万円
67,UTエイム株式会社,【超スピード選考】最短当日面接＆当日採用(規定有)！,【自動車製造スタッフ】好待遇が魅力！★月収42万円以上も可！,正社員,300万円～500万円
68,DSP株式会社,初年度年収450万円以上可/年休125日~130日/産休育休制度(実績有),【総合職(営業/広報/人事/総務など)】やりたいことが見つかる♪,正社員,400万円～1000万円
69,株式会社ハマエンジニアリング,賞与年3回支給★20代で年収450万円超えのも可能／web面接実施中,＼大分・長崎限定採用／【半導体メンテスタッフ】※交代勤務,正社員,280万円～400万円
70,株式会社ライジングサンセキュリティーサービス,☆★新規事業拡大につき50名大募集★☆出張面接も行っています！,福島支社募集【警備】★月給28万~最大42万円！★書類選考なし！,正社員,300万円～600万円
71,株式会社そら,【コロナでさらに注目度UP！「Dr.ストレッチ」を全国に展開】,【ストレッチトレーナー】＊働きやすさも待遇も抜群！未経験OK♪,正社員,300万円～550万円
72,株式会社アイム・ユニバース,東京ヤクルトスワローズ公式スポンサー/借上社宅有/年休120日超,【営業・仕入れ・開発】マネージャー候補★沖縄支社積極採用中！,正社員,500万円～1000万円
73,ジブラルタ生命保険株式会社,会社セミナー開催,月給50万円以上！【営業】(管理職)◆経験不問※全国募集！,正社員,600万円～1500万円
74,UTエイム株式会社,大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,自宅から通勤したい！そんな希望も叶う♪【倉庫内作業スタッフ】,正社員,300万円～500万円
75,大同生命保険株式会社,★業界経験一切不問★有給取得実績多数★転勤なし★土日休み,基本17時退社★平均月給43.4万円【法人営業】※社会人経験者限定,正社員,
76,株式会社クラスアップ,実働6.5h｜残業月15h以下｜年間休日120日以上｜転勤なし,年収2000万円超も目指せる！【提案営業】賞与年3回／完全週休2日,正社員,400万円～1200万円
77,小金井不動産株式会社,LIXIL不動産ショップNo.1！全加盟店480社中優秀成績者41名輩出,<経験者優遇/未経験入社94％>反響型【売買営業】※平均年収650万,正社員,300万円～1000万円
78,株式会社ガリレオコーポレーション,『TVCMでお馴染み』の地場密着企業！昇給チャンスは年3回！！,＼2021年2月鹿児島に新たな営業所オープン！／【営業】,正社員,500万円～2000万円
79,株式会社ノベルワークス,完全週休2日制（土日祝休み）／大阪府緊急雇用対策に賛同,"""今の仕事が物足りないアナタへ！""【ITエンジニア】自社開発あり",正社員,
80,サングローブ株式会社,"★創業7期目で15,000社と直取引★年休130日/土日祝休み/残業ゼロ",★実現した年収もスキルもWアップ★多彩な商材の【内勤営業】,正社員,350万円～1000万円
81,大基興業有限会社,入社祝い金あり／完全週休2日・完全週休3日も選べます,月給33万円スタートもOK【メンテナンススタッフ】※ほぼ残業なし,正社員,300万円～500万円
82,光電気工事株式会社,『年休120日～×雰囲気◎×新社屋勤務』★転職者15名活躍中！,転職者に選ばれ、定着率も良い！【総合職】*名古屋市で転勤なし*,正社員,300万円～650万円
83,株式会社テイクス,【池袋事業所】21年連続増収増益！上場企業グループ会社,【ITエンジニア】スキルを活かそう※学歴不問※希望のみ転勤あり,正社員,300万円～650万円
84,AfterMath株式会社,《札幌発》設立3年のベンチャー企業／前年比200％以上で成長中！,＼未経験歓迎／【内勤営業】★月収70万円も可能・残業1日30分程,正社員,350万円～1000万円
85,ダイセーエブリー二十四株式会社,25通りの選択肢から選べる！？自分らしい働き方を実現しよう！,＼20～30代中心に活躍中！／【ルート配送】★平均月収34万円以上,正社員,
86,株式会社テイクス,【品川・東北事業所】エンジニアが主役！上場企業グループ会社,【ITエンジニア】培った技術でキャリアを切り開く！※転勤なし,正社員,300万円～650万円
87,株式会社ゴールドファステート,【テレビCMなどで注目の成長企業】※大阪府緊急雇用対策に賛同,"高収入が目指せる★社員の平均年収は1,000万円超え！【営業】",正社員,450万円～2000万円
88,日本建物株式会社,地域採用のため福岡以外への転勤なし＊駅チカの天神オフィス,【企画営業】◇原則定時退社◇宅建取得者に報奨金10万円支給,正社員,400万円～700万円
89,倉一建基株式会社,中電工と安定取引/『地球』を相手にする技術力で圧倒的なシェア,【施工スタッフ】未経験＆U・Iターン歓迎！※20～40代が活躍中,正社員,350万円～500万円
90,株式会社東黎トラスト,大阪府緊急雇用対策に賛同／20代若手限定募集！メリハリ&稼げる,ゼロから資産形成の知識も身につく【営業】月給27万円+インセン,正社員,450万円～800万円
91,アイデックス株式会社,「医療」×「不動産」で安定成長中！飛躍期のコアメンバー募集,【投資用不動産営業】営業経験者募集※新卒育成もお任せします,正社員,400万円～1000万円
92,株式会社アミューズ,残業ほぼ無し／手厚い教育／正当評価／早期昇格＆高収入,【店舗運営スタッフ】★中途＆未経験から店長職も目指せる！,正社員,
93,株式会社インターレイズ,脱毛サロン「STLASSH(ストラッシュ)」就職したい脱毛サロンNo.1*,【エステティシャン】引越・入社各種手当有／未経験可／高卒以上,正社員,280万円～350万円
94,株式会社LUXSIA,《九電工提携業務》高い信頼と実績が自慢の会社です！,未経験から始められる【提案営業】安定収入を保証します！,正社員,
95,株式会社ネクストアビリティ,★新規事業メンバー／希望の案件がしっかり選べます★,【施工管理】◆売上の7割を給与に還元！最低月給58.3万円～,正社員,700万円～800万円
96,ニッカホーム株式会社,リフォーム業界においてトップクラスのシェア率を実現！,2件に1件は受注できる！【リフォームアドバイザー】★土日休み,正社員,
97,株式会社砂建,「ウォータージェット」部門のスタートアップ募集！,【メンテナンス】残業月10h／年休120日OK／月給24万~,正社員,
98,株式会社プレサンスコーポレーション,#東証一部上場#ヤドカリのCMでおなじみ,業界大手で成長しませんか？【不動産営業スタッフ】※未経験歓迎,正社員,350万円～1000万円
99,株式会社アーキ・ジャパン,平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,《希望の勤務地》《高収入》《望む働き方》を実現！【施工管理】,正社員,600万円～1000万円
100,株式会社サーバントップ,直行直帰で残業少なめ／テレアポ・飛び込み一切なし／賞与年2回,未経験でも固定給35万！【営業】※営業の約半数が年収1000万円超,正社員,500万円～950万円
101,ロイヤルハウジング株式会社,【創業47年／ロイヤルグループ】昨対比売上150％以上！,高収入を目指せる【売買仲介営業】★業績賞与年3回★100％反響,正社員,480万円～1000万円
102,株式会社アミ―クス,『トータルリペア』オーナー募集,リペア職人として1人で独立！トータルリペアの【FCオーナー】,FCオーナー,
103,株式会社クリア,メンズ美容のリーディングカンパニーへ脱毛サロンを全国70店舗,【メンズ脱毛の提案・施術スタッフ/店長】未経験から高収入！,正社員,300万円～720万円
104,株式会社翔陽,「固定給+賞与」or「基本給+インセンティブ」の働き方が選べる♪,《横浜・福岡》限定採用♪【営業・バイヤー】土日休み／転勤なし,正社員,350万円～800万円
105,株式会社HIPOWER,完全週休2日制(土日祝)/年休120日以上/残業月20h程度,グランピングなどに携わる【企画営業】★成約率90％★賞与年3回,正社員,350万円～600万円
106,ミスギ工業株式会社,【業績好調につき千葉事業所新設！】★Wワーク・副業もOKです！,【総合職（施工管理／保守・点検スタッフ）】※年収例730万/30代,正社員,300万円～800万円
107,株式会社エージェントゲート,★有給取得率100％★産休育休取得＆復帰率100％★定着率90％超★,【ITサポートスタッフ】年休130日以上＆残業なし☆全員面談☆,正社員,250万円～600万円
108,メットライフ生命保険株式会社,★完全週休2日制★賞与年4回(個人業績による),未経験多数活躍中！WEB面談可！【コンサルティング営業】,正社員,
109,株式会社ドリームホーム,京都屈指の業績・2019年度グループ売上高170億円！,完全反響対応の【不動産営業職】★ノルマ一切なし,正社員,300万円～500万円
110,株式会社中央直販,未経験でも研修制度がバッチリ★受注率20％の商品★12時出社★,【内勤営業】訪問一切なし／完全週休2日／年収1000万円も！,正社員,400万円～600万円
111,NITOH株式会社,★福利厚生充実★フラットな社風★未経験から年収1000万円が可能,【不動産営業】★土日休み★高インセンティブ★平均年収863万円,正社員,350万円～1500万円
112,アップライブステージ株式会社,◎遊び代or勉強代『月5万円迄』支給◎実績給で最高70万円支給有,【ライブ配信コーディネーター】★タレント発掘＆育成★高卒以上,正社員,300万円～600万円
113,UTエイム株式会社,大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【資材管理スタッフ】★高収入可能×社宅完備のエリア多数,正社員,300万円～500万円
114,株式会社レッド・フリップ,◆入社1年以内にマネージャーへ昇格し年収1000万超えの実績あり,【ソリューションセールス・MGR候補】◆スタートアップメンバー,正社員,400万円～1000万円
115,株式会社創建,【創業38年】業界トップクラスの実績◎大阪府緊急雇用対策に賛同,＼★年収500万円保証！／新築住宅の【不動産営業】※100％反響型,正社員,500万円～1000万円
116,ヒカリ電気土木株式会社,設立以来、増収増益で絶好調！成長性＆安定性を備えた優良企業,【技術スタッフ】★年休110日★賞与年3回/資格取得支援あり,正社員,400万円～700万円
